DEBT,NETWORTH,HOUSES,NFIN,ASSET
241700.0,444800.0,590000.0,633900.0,686500.0
7000.0,18300.0,0.0,0.0,25300.0
7000.0,18550.0,0.0,0.0,25550.0
7000.0,18320.0,0.0,0.0,25320.0
7000.0,18530.0,0.0,0.0,25530.0
7000.0,18400.0,0.0,0.0,25400.0
2210.0,104590.0,0.0,102000.0,106800.0
1800.0,-1640.0,0.0,0.0,160.0
3040.0,115660.0,0.0,113000.0,118700.0
3170.0,30180.0,0.0,33000.0,33350.0
2300.0,32100.0,0.0,29900.0,34400.0
25000.0,53040.0,0.0,7900.0,78040.0
25000.0,73370.0,0.0,8000.0,98370.0
25000.0,53250.0,0.0,7900.0,78250.0
25000.0,49120.0,0.0,7900.0,74120.0
25000.0,63360.0,0.0,8000.0,88360.0
0.0,5800.0,0.0,5800.0,5800.0
0.0,5800.0,0.0,5800.0,5800.0
0.0,5800.0,0.0,5800.0,5800.0
0.0,5900.0,0.0,5900.0,5900.0
0.0,5900.0,0.0,5900.0,5900.0
61100.0,-48400.0,0.0,8100.0,12700.0
61100.0,-48400.0,0.0,8200.0,12700.0
61100.0,-49600.0,0.0,8100.0,11500.0
61100.0,-50000.0,0.0,8200.0,11100.0
61100.0,-49400.0,0.0,8200.0,11700.0
0.0,880.0,0.0,0.0,880.0
0.0,70.0,0.0,0.0,70.0
0.0,2700.0,0.0,0.0,2700.0
0.0,400.0,0.0,0.0,400.0
0.0,70.0,0.0,0.0,70.0
48500.0,-45699.0,0.0,2800.0,2801.0
48500.0,-45699.0,0.0,2800.0,2801.0
48500.0,-45699.0,0.0,2800.0,2801.0
48500.0,-45699.0,0.0,2800.0,2801.0
48500.0,-45699.0,0.0,2800.0,2801.0
2500.0,14060.0,0.0,0.0,16560.0
2500.0,14050.0,0.0,0.0,16550.0
2500.0,14060.0,0.0,0.0,16560.0
2500.0,14060.0,0.0,0.0,16560.0
2500.0,14050.0,0.0,0.0,16550.0
0.0,13000.0,0.0,12000.0,13000.0
0.0,13000.0,0.0,12000.0,13000.0
0.0,12000.0,0.0,11000.0,12000.0
0.0,13000.0,0.0,12000.0,13000.0
0.0,13000.0,0.0,12000.0,13000.0
3000.0,2600.0,0.0,5200.0,5600.0
3000.0,1500.0,0.0,4100.0,4500.0
3000.0,600.0,0.0,3200.0,3600.0
3000.0,1500.0,0.0,4100.0,4500.0
